FunctionalArea,StrategicPriorities,Programs,UseCase,CurrentSituation,GoalsandObjectives ,TechnologyDeployed,UseCaseSummary
Engineering and R&D,Digital Innovation Acceleration,Ecosystem Orchestration,Supplier Intelligence,"Supplier availability, performance, and costing information is not considered concurrently with product design and development.","Understanding supplier options, availability, and performance as well as cost impact at an early stage of product planning, design, and modeling provides more flexibility and leads to faster, efficient time to market and higher quality products.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: CAD, PLM, ERP, SCP                                                                    Services:  Business services, IT services","There is an understanding of supplier capabilities at a deeper level to support new product introduction such as  certifications, capacity, and past performance, and this information is available within product design, planning, portfolio, and development systems.  The end goal is holistic modeling of the product, as well as related supplier, material, and costing options."
Engineering and R&D,Digital Innovation Acceleration,Ecosystem Orchestration,Thinking Supply Chain,"Various analytic models support different planning stages, but the models are loosely integrated, and disconnected from engineering & R&D.","The objectives are better allocation of resources and risk mitigation, better optimal sales and operations plans, and better next best action determination, at each stage of the product lifecycle.","Hardware: Servers, storage, smartphones, tablets, IoT                                                             Software: CAD, PLM, ERP, SCM, SCP, Cognitive/AI, BDA/analytics, blockchain                                                                 Services:  Business services, IT services","A closed-loop analytic model connects portfolio, scenario, value, and situational analysis upstream to engineering & R&D to drive supply chain performance and innovation.  Automatically sense, analyze, and respond to demand, and understand supply chain capabilities & risk, quickly enabling more accurate, responsive engineering & R&D."
Engineering and R&D,Digital Innovation Acceleration,Product Experience Curation,Closed Loop Customer Feedback,There is no automated feedback loop from customers about product usage or performance.  Analysis of product experience is ad hoc at best.,"Institute an iterative closed loop with customers, directly through mobility and social business means, and through the connectivity of products.","Hardware: Smartphones, tablets, wearables, IoT                                                                    Software: Cloud, PLM, ideation, social, security                                                               Services:  Business services, IT services","Manufacturers can sense and predict product issues through ongoing customer feedback, product connectivity that shows usage and performance, social forums, and directly from customers through product and company online communities."
Engineering and R&D,Digital Innovation Acceleration,Product Experience Curation,Intelligent Personalization,"Customization demands from customers and end consumers is increasing, yet there is no tie between the customer profile, past product usage, requirements, and buying habits.",Rapid and accurate configuration and personalization of products and services that meet customer's unique needs.,"Hardware: AR/VR, servers, storage, smartphones, tablets, IoT                                                             Software: Cloud, PLM, ALM, CPQ, ERP, CRM, ideation, social, BDA, Cognitive/AI                                                                 Services:  Business services, IT services","Persona based design is achieved through the intelligent personalization of products and services based on direct customer input, past product usage, and buying habits.  The customer profile is considered at an early stage of product planning, design, and NPI."
Engineering and R&D,Digital Innovation Acceleration,Product Experience Curation,Omni-Experience Design,"Product design does not consider user interaction with the overall product and specific features, under multiple conditions.","Model and simulate every possible interaction a customer may have with a product, and iteratively improve the design and experience while the product or service is in use.","Hardware: AR/VR, smartphones, tablets,IoT                                                           Software: ALM, PLM, CAD, CAE, CPQ, CTO, ERP, CRM, ideation, social                                                                 Services:  Business services, IT services","The design of products and product experiences takes into consideration the multiple points of interaction a user will have with a product or service. Multi-dimensional UX design is in place, as is an ability to update and improve software, services, and experiences, leveraging the combined power of IoT, development tools, social business, and simulation."
Facility Management,Buildings of the Future,Intelligent Property Management,Real Estate Analytics,Currently facility managers must deal with disparate pools of data and reams of paper files to derive/compile functional business insights,Organizations seek to leverage advanced analytics allows organizations to gain valuable insights for managing their real estate portfolios,"AI/Machine Learning, analytics, personal devices, enterprise applications, connectivity services",The power of analytics is unleashed to find patterns within the tremendous amount of available real estate data.
Facility Management,Buildings of the Future,Intelligent Property Management,Connected Property Management,"Currently, much of property estate management is done via a combination of extensive spreadsheets and other manual processes","Organizations can leverage next generation technologies to manage contract information, select and monitor vendors and contractors","IoT sensors, AI, enterprise applications, AR/VR, connectivity services",The utilization of advanced analytics and IoT enhances the traditional world of property management; adding a new layer of visibility and agility.
Facility Management,Buildings of the Future,Intelligent Property Management,Intelligent Tenant Management,Tenant management processes are currently mired in manual processes for collecting rent and managing commercial vacancies,Companies strive to manage commercial real estate demands more efficiently and intelligently,"AI/Machine Learning, analytics, personal devices, enterprise applications, connectivity services",Intelligent Teant Management is all about managing the needs and preferences of the commercial tenant in an optimized manner leveraging advanced technology.
Facility Management,Buildings of the Future,Intelligent Capital Planning and Execution,Asset Investment Analytics,Organizations often have very little reliable information regarding strategic investment decision in critical infrastructure,Companies are seeking to understand the financial dynamics and risks associated with large capital investments,"AI/Machine Learning, analytics, personal devices, enterprise applications, connectivity services",Companies are bringing the power of big data analytics and AI to add a deeper level of confidence and visibility to capital investment decisions
Facility Management,Buildings of the Future,Intelligent Capital Planning and Execution,Advanced Project Management,"Capital projects are often too reliant on a mix of legacy software, siloed data pools and paper-based processes.",Advanced project management will allow organizations to add advance technologies to management Capital projects,"AI/Machine Learning, analytics, mobile devices, IoT sensors, enterprise applications, AR/VR, connectivity services","The utilization of 3rd platform technologies present an opportunity for companies to streamline site management, bidding, contract management and vendor management."
Facility Management,Buildings of the Future,Intelligent Capital Planning and Execution,Augmented Design Management,"Currently, building engineers have to explore one design at a time. Making changes and resign a tedious and costly process","Companies want to arrive at the best, most cost-efficient building design quickly.","AI/Machine Learning, analytics, mobile devices, enterprise applications, connectivity services",Companies are using advance technology to analyze all the possible permutations of a building's design
Facility Management,Buildings of the Future,Connected Maintenance,Asset instrumentation,"Some assets have condition reporting through sensors, but centralized data management is focused on historians",Higher levels of asset availability result in less asset downtime and lower capital appropriation spending.,"IoT, BDA, advanced networking",Real-time awareness of the asset condition to occur through the dense deployment of wireless and wired sensors.
Facility Management,Buildings of the Future,Connected Maintenance,Predictive Maintenance,"The most advanced asset management strategies usually involve condition-based monitoring, but there is limited ability to predict failures.",Higher levels of asset availability results in less factory downtime and lower capital appropriation spending. There will also be a lower cost of maintenance delivery.,"Cognitive, IoT, mobile",Machine learning algorithms build an accurate predictive model of potential failures and initiates a service event.
Facility Management,Buildings of the Future,Connected Maintenance,Asset Performance Management,Assets are monitored and inspected on a set schedule based on limited performance information compared with historical data. This leads to operations being at risk from unintended events and poor historical data.,"Use not only asset data but external data, like weather, OEM data, and benchmarking performance data as an analytical foundation for predicting asset life and maintenance heeds.","Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Use analytics to predict asset failure to reduce outages and inspections.
Facility Management,Buildings of the Future,Connected Maintenance,Asset Lifecycle Management,"Gathering information on the asset history and financial profile of assets throughout the lifecycle is currently done via a siloed, paper-based process. Decommissioning decisions are done using rules of thumb and ad hoc calculations",Organization want more visibility into their assets throughout their life-cycle from the design phase to decommissioning an asset,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Using enterprise software and advance technology to maintain an accurate asset profile throughout its asset lifecycle
Facility Management,Buildings of the Future,Connected Service Management,Mobile Workforce,Technicians are often servicing/maintaining assets in remote or hard-to-reach locations with limited access to connectivity.,Give the mobile workforce the information and tools they need to maintain the facility and its locations in real or near-real time.,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud, mobile",Use mobile tools to empower the field technician with asset management information
Facility Management,Buildings of the Future,Connected Service Management,Remote Service,The field service process remains too reliant on paper-based systems and is often still reactive in nature,Intelligence gleaned from connected products empowers the field team to provide enhanced customer value beyond the work order,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud, IoT",IoT-triggered service event resolved remotely prior to asset or product failure
Facility Management,Buildings of the Future,Connected Service Management,Dynamic Parts Management,Parts management is inaccurate and costly as a result spare parts inventory grows unchecked and obsolete,Connected products have the opportunity to transform the efficacy of technicians as they have the right part to deliver service and resolve issues.,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud, IoT, mobile",Ability to stock fewer service parts in technician truck as a reason for failure is predicted accurately and appropriate parts are reserved
Facility Management,Buildings of the Future,Smart Building,Advanced Operational Monitoring,Current building system are disconnected and must be monitored individually and very often my visual methods,Utilize IoT technology to monitor building systems to optimize energy and operational efficiency,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Advanced Operational Monitoring are use manage the building system to ensure energy and operational efficiency
Facility Management,Buildings of the Future,Smart Building,Connected Asset Management,Building related assets are often running in siloes without connection to other related assets and systems,Connected facility asset can be monitored online and mobile for efficient operation,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Reduce siloed operation for facility assets and allow for monitoring via online and mobile methods
Facility Management,Buildings of the Future,Smart Building,Intelligent Building Energy Management,Building system managers currently don't have visibility into whole-building energy and operational status,View system operation holistically and in real-time allowing for proper operation,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Using advanced technologies to provide visibility into whole-building energy and operational status
Facility Management,Buildings of the Future,Intelligent Space Optimization,Dynamic Hoteling Management,Currently meeting room and remote worker space request are done in an ad hoc manner,"Effectively manage workspace requests for event, meetings and remote workers to increase productivity","AI, Cognitive, IoT, mobile",Utilize AI and machine learning to anticipate the demand for workspace for remote workers and event/meeting space
Facility Management,Buildings of the Future,Intelligent Space Optimization,Intelligent Space Planning,"Space planning is a tedious, inefficient operation which feature paper-based/manual processes","Move away from manual processes to support space planning, optimize building space","AI, Cognitive, IoT, mobile",Utilize advance technology to efficiently optimize building space
Facility Management,Buildings of the Future,Intelligent EHS,Augmented Health and Safety,Critical building asset and workspaces are often monitored by discrete systems without the ability to holistically manage them,Gain the ability to holistically monitor and manage the health and safety environment for both building assets and workers,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Utilization IoT and other sensor technology to maintain building safety and operational efficiency
Facility Management,Buildings of the Future,Intelligent EHS,Environmental Resource Optimization,Facilities are often unable to make real-time decision regarding the resource usage and energy management,Gain real-time visibility into facility power management and resource usage,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Utilize advance technology to gain real-time visibility into facility power management and resource usage
Facility Management,Buildings of the Future,Intelligent EHS,Dynamic Compliance Reporting,"As the regulatory landscape continues to change, corporate real estate teams struggle to meet compliance requirements across their building portfolios",Meeting compliance goals and deadlines efficiency across the entire building portfolio.,"Sensors, smart assets, networks, analytical tools, data management, cognitive, cloud",Utilize AI and smart building technology to meet continuously evolving compliance goals and deadlines
Human Resources (HR),Strategically-Aligned Workforce,Digital Talent Acquisition ,Recruitment Marketing,"Organizations typically rely on product and services marketing to influence candidate perception of organizational culture and career opportunities. This  in a post-and-pray approach is insufficiently compelling in a tight labor market, and forces candidates to seek insight on corporate culture from unreliable sources. ",Effectively articulating and amplifying an authentic and compelling employer brand as the foundation of an always-on marketing operation aimed at attracting and engaging relevant talent personas to improve time to fill and quality of hire metrics. ,"This use case is supported by recruitment marketing platforms purpose-built for talent attraction,includes services from consultants to integrate,advice organizations on c,idate relationship management,job marketing,advertising.",Talent acquisition teams develop a cohesive employer brand comprised of unique value propositions for specific talent personas and design marketing and advertising strategies to attract and capture the interest of prospective employees. 
Human Resources (HR),Strategically-Aligned Workforce,Digital Talent Acquisition ,High Quality Candidate Experience,"Hiring organizations struggle fail to meet candidate expectations regarding response times, transparency, and feedback, resulting in missed hires, reduced ""repeat applies"" and poor reputation decreasing quality hires and increasing recruiting costs. ","Markedly and meaningfully improving the experience of candidates from the first touch to the first day on the job through the implementation of optimized, transparent process and adoption of modern, mobile-friendly technologies that consistently deliver good candidate user experience. ","This use case is supported by modern applicant tracking,c,idate relationship management systems including chat-bots,analytics along with mobile-optimized career sites. ","Talent acquisition teams streamline processes to eliminate bottlenecks, reduce redundancies, and improve feedback helping eliminate unconscious bias, and empowering candidates to put their best foot forward when applying and interviewing for jobs."
Human Resources (HR),Strategically-Aligned Workforce,Digital Talent Acquisition ,Exceptional Quality of Hire,"Existing processes for identifying and recruiting top talent are haphazard, often failing to identify ""best fit"" and candidates with the best potential for current and future needs. This decreases organizational effectiveness, increase voluntary and involuntary turnover cost of recruiting and organizational risk.  ","An optimized talent acquisition practices end to end - from recruitment marketing and job advertising to interview, assessment, and selection to new hire onboarding - that can translate existing requirements into candidate characteristics creates a more agile, consistent and successful decision-making process. ","This use case is supported by the adoption of integrated applicant tracking,c,idate relationship management systems that includes machine learning, analytics. It will also include c,idate assessment,interview management solutions. System integration, IT consulting, HR consulting,business consulting services will also be included.","The hiring organization leverages success profiles for all roles to ensure talent acquisition efforts are dedicated to attracting those talent personas which have a strong likelihood of succeeding. By optimizing assessment, interview, and onboarding practices the organization can continuously deliver exceptional hires."
Human Resources (HR),Strategically-Aligned Workforce,Digital Talent Acquisition ,Diverse Talent Supply Chain,"Most organizations focus recruiting efforts on standard full-time candidates with traditional prospecting and pipelining practices. These approaches fail to identify high-quality talent and overlook suitable candidates from nontraditional sources, increasing the risk and impact of local skill-gaps.","Leveraging a multichannel, multifaceted marketing strategy, modern talent acquisition organizations are considering how they might tap into a growing supply of diverse talent sources ? non-college graduates, non-traditional college graduates, geographic and racially diverse, etc? to improve organizational agility and reduce time to fill.","This use case is supported through the utilization of ecosystem-based talent marketplaces, applicant tracking systems,recruiting vendor management systems, as well as machine learning,intelligent automation. It will leverage system integration, IT consulting, business consulting services.","Talent acquisition and procurement organizations work to identify broader populations of potential candidates. Leveraging analytics, machine learning, and intelligent automation to trigger requests and effectively ""cast a wide net"" for suitable candidates."
Human Resources (HR),Strategically-Aligned Workforce,Digital Talent Acquisition ,Inclusive Hiring Strategies,"Hiring decisions are often based on the extrinsic, observable characteristics, and not based on ""fit for role"" measures. This increases the risk of overlooking top talent, failing to find suitable candidates, and being unable to execute corporate strategy.","Identify and eliminate unconscious bias in recruiting and hiring processes to identify characteristics of quality and culture fit to create more effective and inclusive strategies for prospecting, assessing, and hiring diverse talent. ","This use case is supported by tools powered by machine learning,natural language processing, modern applicant tracking systems,  to provide identify possible unconscious bias in sourcing, hiring, onboarding. This will also require system integration, IT consulting,business consulting services to properly design,implement these systems.",The organization develops and deploys best practices actively identify viable candidates from all demographics and implements sourcing and interview practices that include data-driven insights along with human decision making to make hiring decisions. 
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Digital Leadership Development,"Leaders are most often trained as a cohort, without regard to personal strengths or developmental requirements particularly around the potential for digital transformation. This fails to sufficiently prepare leaders for their unique opportunities resulting in underperformance strategic failure or career burnout.","Adaptively and fully identifying and addressing individual leader strengths and challenges can maximize their potential and increase career and organizational success. Providing leaders with tools to augment, support and strengthen their leadership style to increases the impact of transformation initiatives.","This use case is supported by effective learning management systems, AI, analytics,cognitive solutions to identify remediation opportunities, eLearning,other developmental tools along with HR,learning consulting services.","The organization sets leadership competence objectives, individual and potential leaders take quantitative and qualitative assessments to help identify opportunities for improvement. Development recommendations are prioritized for each leader considering role, business objectives and leader career objectives."
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Adaptive Skill Development,"Employee development objectives are typically assigned during the performance review process or throughout the year as initiatives. This process fails to account for emergent organizational requirements and more importantly, interest and initiative by the employee. ","Adaptive skill development allows both the enterprise and the learner to identify new development priorities, begin, continue or modify development objectives while allowing consistent oversight and management by both functional leaders and learning program staff.","This use case is supported by effective learning management systems, AI, analytics,cognitive solutions to identify remediation opportunities, eLearning,other developmental tools along with HR,learning consulting services.","The organization sets development objectives, employees take quantitative and qualitative assessments to help identify opportunities for improvement. Development recommendations are prioritized for each employee considering role, business objectives and employee career objectives."
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Real-time Learning Impact,Learning impact is inconsistently and incompletely calculated leading to mis-applied resources and seat-of-the-pants changes. ,"Effective learning impact allows organizations to effectively target learning program at populations with greatest needs, improve programs, and effectively manage resources.","This use case is supported by performance monitoring systems, effective assessment systems, analytics to identify performance change, isolate impact, along with HR,learning consulting services to properly develop,deploy effective assessment programs.","Real-time learning impact will monitor ongoing system and employee performance, identify below-expectation gaps, and suggest remediation alternatives. The same systems can correlate training delivery with performance change to evaluate learning effectiveness, and learning delivery failures."
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Dynamic Workforce Sourcing,"Sourcing labor - either traditional full-time, part-time, contingent, contractor or other form - is often a silo-based process conducted by HR, the line of business, the procurement team, line-managers or individual employees. This results in a lack of management visibility, wasted resources and inefficient delivery of services.","Dynamic workforce sourcing is a centralized sourcing capability that allows all authorized staff to leverage a single, integrated approach to all sourcing requirements, consolidating requirements, process governance and management visibility while optimizing utilization and minimizing administrative involvement.","This use case is supported by an intelligent workforce planning,sourcing tools, analytic tools,cognitive capabilities to intelligently suggest sourcing strategies consistent with corporate objectives,specific staffing requirements along with business,HR consulting to establish sourcing strategies, governance,processes. ","Dynamic workforce sourcing allows authorized staff to initiative workforce requisitions, identify likely sources and candidates, consistently evaluate and select candidate and optimize corporate spending on talent acquisition."
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Adaptive Workforce Planning,"Ensuring an organization has current and future access to the human capital involves both demand forecasting and anticipating human capital supply. It is often closely associated with service or product demand but is confounded by internal and external unknowns that makes the planning process imprecise, frequently ineffective and sometimes counterproductive.","Workforce planning considers product and services demand, internal workforce trends, and external labor supply. While strategic decisions often occur at predictable intervals, urgent and momentous decisions are required outside the strategic planning cycle, but still consider the dynamic variables. Up-to-date insight can help organizations make optimal decisions.","This use case is supported by an intelligent workforce planning tools including analytic,cognitive capabilities to anticipate workforce dem,s along with business,HR consulting to establish workforce strategies, governance,processes.","Adaptive workforce planning continuously monitors internal conditions and external trends to identify talent risks and opportunities. When talent related business decisions, including expansion, acquisition, or divestiture, up-to-date analysis can allow for rapid and accurate decision-making. "
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Adaptive Wellness,"In too many organizations, wellness is limited to walkathons and weight loss challenges and fail to consider financial, emotional, physical and professional wellness as part of a healthy employee and workforce. This increases organizational cost from health and wellness lost productivity, emotional distress, increased health insurance costs and increased recruiting and onboarding costs. ","Dedicated resources are available to support employees and their families across all facets of wellness - from managing debt, to overcoming addiction, to improving rapport with coworkers. Business are able to monitor wellness as a key driver in employee engagement and productivity, and mitigate risk of attrition, burnout, or on the job injuries.  ","This use case is supported by employee engagement platforms, chat-bots, call-center technology, rewards,recognition management systems. Adaptive wellness programs include machine learning to personalize strategies for each employee,analytics for insight into workforce viablity. This will also include IT,business consulting to integrate systems,services.","Providing employees and families access to robust resources spanning all facets of wellness, employees will more actively manage financial, physical, emotional, and professional wellness, and reduce stressors. With more insight on the health and well-being of their workforce, businesses can reduce health-related costs."
Human Resources (HR),Strategically-Aligned Workforce,Digital Workforce Agility,Comprehensive Onboarding,"New hires are provided familiarity training with corporate systems, culture and general training though face-to-face instruction in batches. This creates a bottleneck and wasted effort as most onboard processes aren't immediately important to new employees and employee work and homelife situations differ.","Just-in-time onboarding provided both before, and after start date for all types of employees decreases the lag between hiring and productivity, increases the employees sense of contribution during their transition and saves the organization resources on unproductive initiation.","This use case is supported by an intelligent workforce planning,integrated benefits,employee information systems, analytic tools,cognitive capabilities to intelligently suggest next best action consistent with specific employee needs,business,HR consulting to establish priorities, sequencing,effectiveness measures. ","Combining capabilities of Adaptive Skill Development with culture, process and system training and Real-time Learning Impact increases throughput, employee satisfaction, and reduces time to productivity."
Human Resources (HR),Strategically-Aligned Workforce,Organizational Agility,Organizational Structure Agility,"Organizational structure, characterized by high job specialization, functional departments, narrow spans of control, and centralized authority have inherent inertia and are ill-constructed to adapt quickly to changing business priorities, opportunities or external threats.","Rethinking organizational structure to incorporate a greater communication, variety of structures in different parts of the organization and an emphasis on communication allows organizations to more quickly adjust to changing conditions.","This use case is supported by an intelligent workforce management,employee information systems, analytic tools to evaluate structural alternatives consistent with organizational,employee objectives,business,HR consulting to establish governance,effectiveness measures.",The ability to effectively integrate traditional organizational structures like functional or geographic departmentalization with more decentralized structures like strategic business units and matrix organizations allows organization to more quickly adapt to circumstances unencumbered by organizational inertia. 
Human Resources (HR),Strategically-Aligned Workforce,Organizational Agility,Team Composition Agility,"While most high-value and innovative assignments are given to temporary teams, problems with composition, coordination, motivation and authority most often cause sub-optimal results.","To maximize team productivity for high-value objectives, organizational practices must focus on team composition and processes to achieve greater teamwork. This requires intelligent assignment of a leader to establish objectives, team members with diverse relevant expertise, authority and structure to capture incidental competence gained by all members.","This use case is supported by an intelligent workforce management,employee information systems, analytic tools,cognitive capabilities to intelligently suggest team composition consistent with organizational,employee objectives,business,HR consulting to establish governance,effectiveness measures.","Multidisciplinary team that can be formulated to address complex or emergent requirements can deliver high-value results when they are intelligently constructed, motivated and supported."
Human Resources (HR),Strategically-Aligned Workforce,Organizational Agility,Strategic Workplace Design,"Many organizations have headquarters, some have branches, offices, shops, stores, factories or suites but the physical size of a place of work, can either facilitate or impede growth, agility and success. And while often unnoticed, physical locations can represent a sizable portion of an organization's expenses.",Organizations that can strategically adjust the physical requirements and characteristics of its workplace can maximize performance while minimizing infrastructure costs.,"This use case is supported by an intelligent workforce planning tools including analytic capabilities to anticipate physical space requirements,alternatives along with business,HR consulting to establish workplace strategies.","As organizations acquire, divest or grow, and their business evolves, being able to dynamically alter their physical workplace design and utilization can contribute to their strategic success."
Human Resources (HR),Strategically-Aligned Workforce,Differentiated Workforce Compensation ,Equitable Compensation,"Many organizations must manually generate and synthesize reports from numerous sources to determine if there are compensation imbalances. Sources may include all or some of department, division, region, subsidiary, and country levels. As a result, it is difficult to identify compensation inconsistencies in a timely fashion if at all. ",Compensation policies and practices need to treat the workforce fairly. The latter makes good business sense and is mandated in some geographies. Attracting and retaining talent can by hindered by unequitable practices.,"This use case is supported by an intelligent compensation management,planning system underpinned by workforce analytics that identify inequities. ","Sophisticated compensation data analysis and software system together streamline the rapid identification and correction of inequitable compensation practices, Fairness in compensation throughout the enterprise is a critical factor in ensuring employee satisfaction and improving employer reputation to potential job applicants. "
Human Resources (HR),Strategically-Aligned Workforce,Differentiated Workforce Compensation ,Competitive Total Compensation,"Failing to ascertain and offer compensation plans that are competitive at the position level against competitors on a countrywide, regional and locality basis risks the loss of existing talent and potential new hires. ",Compensation that is attractive and competitive positions the organization to effectively attract new hires and to retain key staff. ,"This use case is supported by synthesizing external compensation benchmark data with an intelligent compensation management,planning system. ",Competitive benchmark compensation data analysis and compensation management software system together identify proper compensation levels. Compensation that is in alignment with the competition is a critical factor in ensuring employee satisfaction and improving employer attractiveness to potential job applicants. 
Human Resources (HR),Strategically-Aligned Workforce,Differentiated Workforce Compensation ,Meaningful Rewards and Recognition,Regressive organizations fail to plan and accommodate off cycle and ad hoc rewards and recognition. Those organizations that accommodate but lack sophisticated supporting technology also fall short of delivering on comprehensive rewards and recognition.  ,Meaningful rewards and recognition serve to empower both peer-to-peer and manager-to-subordinate relationships. By doing so organizations have a tool for encouraging excellence that goes beyond traditional payroll-related compensation.,"This use case is supported through software that matches behavior with recognition,supports social recognition. Not all recognition needs to be attached to a tangible reward.",Effective rewards and recognition technologies automate the process while enabling all levels o/f the organization to participate. Socialized recognition encourages a team ethos while also giving credit where it is due for exceptionalism.
Human Resources (HR),Strategically-Aligned Workforce,Aligned Performance,Integrated Performance Management,"Many enterprises rely on paper- and/or office-based methods that make performance management a manual, unpleasant experience for managers and employees. A lack of technology also dictates that performance is reviewed on a periodic basis only.   ",Modern performance management empowers a regular cadence of ongoing performance check-ins. A modern approach also puts goal achievement at the forefront while also gauging and remediating for skills gaps.  ,"This use case is supported through software that cascades goals from top-to-bottom, measures skills gaps, empowers continuous performance conversations.   ",Integrated performance management presents all stakeholders with an easy-to-use way of continuously measuring forward progress.  Well managed employee performance ensures that the right achievements are being pursued and desired behavior is recognized. 
Human Resources (HR),Strategically-Aligned Workforce,Aligned Performance,Intelligent Career Development,A majority of enterprises view career development as wholly the responsibility of the individual employee and think that helping employees only serves to sow discontent.,Companies need to recognize first that helping employees plan for their future is not a threat. Rather helping employees envision their career path and helping them skill up for the next job lowers the need for external hiring and raises employee engagement.,"This use case is supported through software that intelligently parses,matches required job skills to employee skills possessed. Systems improve through repeated matching via machine learning.  ","Intelligent career development enables employees to create a career path and build a plan for their future with the company through intelligent matching. Career development builds loyalty between employees and the enterprise which translates to lower turnover, higher employee engagement, and reduced need for external hires.  "
Human Resources (HR),Strategically-Aligned Workforce,Aligned Performance,Adaptive Succession Planning,Most companies do little or no planning for filling positions in the event of turnover. Those few that do conduct succession planning do so manually for only the top one or two layers of senior management ,Succession can be thought of as the top-down complement to career planning which is bottom up. Planning for all key positions creates a tangible and visible career path for employees - all of which lead to employee satisfaction and retention. . ,"This use case is supported through software that intelligently parses,matches required job skills,attributes to employee skills,attributes possessed for all critical positions. Systems improve through repeated matching via machine learning.  ",Adaptive succession planning enables organizations to create and build an intelligent plan for filling critical roles from within when the need arises. Smart succession lowers future risk by executing on an intelligent plan for minimizing the likelihood of lengthy vacancies in critical roles 
Human Resources (HR),Strategically-Aligned Workforce,Aligned Performance,Collaborative Capability,"A majority of organizations offer pockets of situational collaboration, But few have implemented a cohesive enterprise-wide collaboration plan.","Fostering collaboration results in more effective team operations, improved workforce productivity through streamlined communications, and a shared understanding of company tenets and objectives by all. ","This use case is supported through collaboration software,network software. Companies may benefit by st,ardizing on a single collaboration platform   ","Connected organizations utilize social collaboration across all internal and select external stakeholders. Collaborative organizations are more productive as barriers to cross-organizational, company-wide, and team communications are minimized. "
Human Resources (HR),Strategically-Aligned Workforce,Aligned Performance,Employee Engagement Measurement,Employee engagement aims to gage the level to which an employee is committed to their job and employer. The majority of employers conduct an annual employee satisfaction survey but engagement is more than straight satisfaction and frequently fluctuates and should be continuously monitored. ,"The unemployment rate is historically low in the US. It is now difficult to find talent in a number of roles. As such, it is highly important to retain talent. Understanding the mindset and commitment of employees is key to potentially heading off voluntary turnover. ","This use case is supported through software that intelligently gathers,interprets employee sentiment data,offers management suggestions for remediation. ",Measuring employee engagement on a regular basis enables companies to adapt to changes in employee sentiment.  An engaged workforce is key to high productivity and customer satisfaction. 
Human Resources (HR),Strategically-Aligned Workforce,Optimize HR Operations,Integrate/Divest Organizations,"Mergers or divestitures are often executed based on perceived cost savings or market synergies but rarely consider the ""people"", culture or HR systems critical to ongoing operations. These conditions result in misaligned processes or missed opportunities for achieving the intended organizational benefits.","By optimizing the enterprise workforce, the final organizational structure, and conscientiously maintaining or creating a new culture, and properly separating or combining HR systems is an opportunity to make great strides in organizational effectiveness, while reducing costs. ","This use case is supported by integrated suites of HR solutions, most often running in the cloud or ""as a service"", will include analytic tools,advanced forecasting capabilities, may additionally involve services from IT consultants, system integrators, HR specialists,business consultants. ","Modern intelligent suites of HR tools, both sides of a transaction can model scenarios and accelerate out of the transaction. New processes can be implemented on a clean-slate without the legacy baggage. Personnel decisions can be more objective and can include broader corporate strategy and tactical considerations."
Human Resources (HR),Strategically-Aligned Workforce,Optimize HR Operations,Optimize HR Function,"Over time, sequential acquisitions or re-organizations can leave the HR function misaligned, mis-sized and unable to properly support the enterprise.  These conditions result in excessive cost, increased risk and diminished organizational value delivered by the HR organization. ","By optimizing the enterprise HR organization to match the organizational requirements, and optimized HR systems can facilitate greater strategic impact from the HR organization, increasing overall organizational effectiveness and reducing costs. ","This use case is supported by integrated suites of HR solutions, running in the cloud or ""as a service"", will include analytic tools,advanced forecasting capabilities, involve services from IT consultants, system integrators, HR specialists,business consultants to improve operations while transitioning through the corporate action. ","An HR organization that is sized, functionally aligned with organizational requirements and has access to intelligent tools and integrated systems can better attracted, develop, deploy and competitively compensate its workforce, reducing costs, increasing organizational productivity and reducing risk of talent shortages."
