Industry,Mission,MissionDescription,Strategic Priorities,Programs,Use Case,Current Situation,Goals and Objectives ,Technology Deployed,Use Case Summary
Insurance,Contextual and Value-Centric Insurance,no value,"Speed, Scale, and Agility",Process Optimization,Intelligent underwriting,"Most incumbents understand the need to transform their underwriting function but face gaps between existing capabilities and the risk assessment and risk selection requirements of the digital world. ? They need to redefine existing function and processes to build an underwriting department that is agile, data driven, customer focused, and supports sales in growing and retaining business","Empower underwriting department with highly automated system and processes and a 360-degree view of customer as well as risks to manage their day to day tasks. ? Enable the underwriting function to make faster, more informed and precise decisions by integrating the underwriting processes to workflow and realtime intelligent decision support systems.","Modern underwriting suite that incorporates advanced analytics, predictive modelling tools, and cognitive capabilities","Transform the current transactionfocused underwriting function to a competitive, strategic, customer-centric, data-driven, decision-making process to enhance customer, staff, and partner experience."
Insurance,Contextual and Value-Centric Insurance,no value,"Speed, Scale, and Agility",Omni-Channel Optimization,Intelligent channel automation,"To meet the customer expectations to engage through different channels, many organizations are investing in omnichannel strategies. ? To ensure the success of their omni-channel initiatives, it is important to invest in automation to improve efficiency, productivity, and quality of service.","Invest in multichannel integration to enable frictionless services for customers and partners across channels. ? Invest in digital capabilities to increase the efficiencies of insurance backoffice operations and improve the ability to transform different lines of businesses. ? Consider investments in areas such as intelligent email management, automated call centers, web chats, and staff support solutions.","Digital distribution platform, RPA,  Cognitive capabilities, Advanced analytics, Cloud","Automate manual operational processes across different channels with the aid of digital technologies to support the ability to improve current processes, handle service requests more quickly and accurately, cut costs, and accelerate the transformation journey"
Insurance,Contextual and Value-Centric Insurance,no value,"Speed, Scale, and Agility",Omni-Channel Optimization,Green insurance (paperless business),? Many incumbents operate with both paper and electronic media. ? Those that have adopted paperless business rely on static electronic content that doesn't allow frictionless access to information across different departments or analysis of the content to enable contextual and relevant customer service.,"Implement a paperless business that relies on efficient capture, management, storage, delivery, and preservation of data in line with compliance requirements. ? First, duplicate all paper-based processes electronically. Follow this up with the implementation of workflow and business process management for process automation. ? Integrate document management with core systems to enable data access and to draw actionable insights from data.","Electronic document management/ electronic content management, Business process management,  Automated workflow management","Embrace green business to cut costs, improve customer service, enhance staff efficiencies, support partners and intermediaries, reduce processing errors, improve compliance, and minimize risk."
Insurance,Contextual and Value-Centric Insurance,no value,"Speed, Scale, and Agility",Open and Collaborative Enterprise,Connected workforce,"Digital technologies are providing an opportunity for workforce across various departments, lines of businesses, and geographies to connect better to perform their daily tasks in a collaborative manner. ? Insurance organizations must exploit this to reduce the need to have more physical work spaces, meet the needs of a new age workforce that expects flexible working styles, engage more efficiently with partners, and manage resources smarter.","Build digital workplaces that equip staff with the right devices and tools to seamlessly access internal as well as relevant external information and communication channels to perform their daily tasks irrespective of their location. Where possible, move development, testing, and noncore tasks to the cloud provided or managed by a third-party partner to reduce costs of application implementation and free up the company's valuable resources to focus on the core business.","Digital/agile technology platforms, Enterprise collaboration tools, Cloud (PaaS, IaaS), Integration with risk, governance and security systems","Empower the workforce to do business ""anytime, anywhere"" in a collaborative, secure, seamless, and flexible manner with the help of digital workplaces."
Insurance,Contextual and Value-Centric Insurance,no value,"Speed, Scale, and Agility",Open and Collaborative Enterprise,Ecosystem collaboration,"? As customers begin to look for value beyond traditional products and services in return for the premiums they pay, insurance organizations are challenged to expand their offerings through ecosystem partnerships despite security, privacy, and interoperability hurdles.","Create a standard, open environment to enable information exchange with value-added partners in the wider insurance ecosystem to offer contextual services to customers. Ensure the ecosystem collaboration has strong security measures and controls in place to mitigate risks.","Open architecture/ standards, Open APIs, Next-gen security, Governance systems for risk mitigation, Cloud-based app development, API testing platforms","Create a secure and open ecosystem to collaborate with different stakeholders (retailers, car manufacturers, hospitals, repair shops, legal firms, property assessors, risk managers, academia) to cater to new market needs and deliver value to the customers beyond traditional insurance products and services."
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data-Enabled Risk Management,Cyber-risk management,"? As the use of connected networks has become common to do business, insurance (like many other industries) has become vulnerable to cybersecurity threats. ? As the adoption of sensor-based technologies increase to offer insurance products for connected ecosystems, cyberthreats will only increase exponentially in the coming years.","Ensure that the latest security software and hardware, strong cybersecurity practices, back up and disaster recovery plans, and ongoing staff and partner training are in place to protect the organization from cyberattacks. Access the latest cyberthreat data via informationsharing arrangements with governments, industry bodies, and consortiums. Ensure adequate due diligence and management of all the partners that the organizations engage with.","Advanced analytics, Next-gen security","With extremely sensitive customer data in hand, insurance organizations must have strong ongoing commitment to manage cyberrisks smartly and effectively, not just to adhere to regulatory requirements, but to also manage customer trust and brand reputation. ? Undertake a holistic, enterprisewide risk management approach to cybersecurity with the right level of attention from the board and executives."
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data-Enabled Risk Management,Telematics enabled fraud management,"Insurance organizations largely depend on prebuilt business rules, workflow, and information collected from customers to monitor and detect fraud, which is not an effective way to tackle fraud in the new world of sharing and connected economies.","Use telematics data to counter fabricated claims circumstances and fraud by comparing data provided by the claimant against telematics data collected through the sensors installed in vehicles or buildings. Partner with niche start-ups to leverage capabilities for accident reconstruction, injury assessment, and locating where the event has occurred to detect fraud more accurately and effectively.","IoT, Advanced analytics, Cognitive technologies, Cloud",Employ digital technologies and complement the findings of expert claims adjusters with the telematics data (impact dynamics) to reduce the probability of fraud in claims notifications
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data-Enhanced Compliance Handling,Cyber-incident response management,"Cybercrimes are like financial crimes; incidentally, a lot of financial crimes these days are cybercrimes. ? Most cybercrimes are unveiled when cybersecurity software is installed often days after the crime has occurred and a response process is triggered. ? This is because most organizations focus heavily on data breach protection and not on what they will do if a breach occurs and how they will manage their reputation.","Build cyberresponse plans catering to internal requirements and insured breach scenarios. Employ advanced systems and comprehensive processes in place for internal as well as the insured's incident response handling that involves call center, legal, digital forensics, notification, public relations, fraud and credit monitoring, and identity restoration services in the event of a loss","Electronic discovery and response systems, Network analysis and pattern analysis tools, Digital forensics","As levels of cybersecurity incidents increase by the day, insurance organizations need to invest in specialist software, practices, and expert skills for their own incident response management as well as support insureds in the event of breaches."
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data-Enhanced Compliance Handling,Intelligent regulatory reporting,"? Current regulatory reporting relies on internal siloed data sources and is characterized by complex, rulebased models for transaction monitoring, legacy systems, and manual processes, and lack of effective information exchange across departments. ? Current systems and processes are unable to meet the frequent and accurate reporting requirements as expected by regulators.","Deploy systems and processes enabled by digital technologies to achieve the following in regulatory reporting: simple automated activities, enterprisewide data sharing around compliance, proactive risk mitigation advice, deep data and market analysis, and compliance dashboards. Partner with regtechs to empower the journey to digitally transform the reporting functions.","Advanced analytics, Cloud-enabled regulation as a service solutions, Cognitive capabilities (AI and machine learning, natural language processing)","Invest in intelligent regulatory reporting tools and processes to consolidate, analyze, model, and report based on large volumes of diverse internal and external data sources to meet regulatory and compliance obligations more accurately and effectively."
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data Monetization,Dynamic pricing,"Traditional pricing models are based on economic and behavioral assumptions, aggregate risk pooling, customer's standard rating factors, and prices set by competition. ? Customers increasingly expect to pay for only what they use, so dynamic pricing models based on an individual's profile, lifestyle, and activities is the need of the hour in the digital world.",Combine existing customer data and external data sources as well as apply analytics to draw insights to arrive at personalized pricing models. Partner with insurtechs and other industries to obtain the data and technology required to realize dynamic pricing.,"Dynamic pricing engine, IoT,  Advanced analytics (predictive, contextual),  Cognitive capabilities","Convert the current pricing models into contextual customer-relevant models based on real-world, precise risk identification and assessment."
Insurance,Contextual and Value-Centric Insurance,no value,Building Cognitive Competencies,Data Monetization,Insurance data for sale,A few forwardlooking insurers are either planning to or piloting the sale of telematics data to other industries and potentially pass on the savings to their consumers by reducing premiums.,"Create a new revenue stream through the sale of insurance data and knowledge and understanding of risks to retailers, banks, telecommunication providers, or other insurers.","IoT, Cognitive capabilities, Advanced analytics, Cloud","To sustain in a flat and highly competitive marketplace, insurers should explore new revenue streams by leveraging the power of data and knowledge of risk to complement traditional business models."
Mining,Agile Mining Operations,no value,Digital exploration,Drilling optimisation,Drilling optimisation,"Drilling is driven heavilly by human insight and experience. The opportunity  is to use data, minerals testing and treatment within the automation to increase returns on investment of time and resources   ",Improved ROI of drilling acitvities,"Real time drilling applications, analytics, robotics and cognitive/AI. ","Increase the ROI of drilling within exploration through utilising data analytics across datasets - including sensor data, geological data and real time insights.  "
Mining,Agile Mining Operations,no value,Digital exploration,Drilling optimisation,Geological digitisation platform,"Geological data and models are held in pieces by companies, industry orgnaisations and governments.  Much of the data is help in paper form and excel spreadsheets, and  is not easilly integratable ",To digitise datasets so that it can be integrated and utilised across organisations to facilitate informed exploration decision making,"Analytics, cloud, mobility","Increase exploration ROI by enabling access to the richer, consistent geological information based on a platform based approach"
Mining,Agile Mining Operations,no value,Digital exploration,Ore search optimisation,Virtual geophysics,Wasted time and energy on reconciling and identifying databases and following up with exceptions in the data,Simluation of geophysics and location parameters to optimise exploration resources. Uses multiple external resources,"Data management, geological modelling and simlutation, communications, collaboration, analytics, cognitive",Create virtual teams and collaboration across the organisation to optimise how people work together with machines and software.  Create one dataset that can be shaed in the cloud across organisational groups. Leverage analytics where applicable as well
Mining,Agile Mining Operations,no value,Digital exploration,Ore search optimisation,Drone based exploration,Limited visibility of accurate and high cost for engineers and executives to access field data for spend analysis and decision making,Drones will provide both controlled and autonomous ability to explore remote location and self-direct its pathproviding real tiem accurate filed data,"Drones, infrared sensors, analytics, communications networks, cloud, mobile.",Drones will provide both controlled and autonomous ability to explore remote locations
Mining,Agile Mining Operations,no value,Digital exploration,Ore search optimisation,Ore intelligence,"Interpreting data to provide insight on where to drill next is very complex. Data sets are vast  and include - field mapping data, geochemical surveys, drill hole data, geophysical surveys, geological maps, Landsat imagery, aerial photographs, mine level plans, alteration models, resource model data and reports etc.  .    ","To focus exploration activities  increasing ROI through  processing and integration of datasets across geological, geothermal, geo-spatial and mapping data.  To improve the chance of identifying mineable ore.  ","Analytics, cognitive/AI, high powered computing, cloud, mobility",Increase the ROI of exploration  through improved decision making enabled by gaining access to insights embedded within huge data sets. To improve the chance of identifying mineable ore. 
Mining,Agile Mining Operations,no value,Digital exploration,Ore search optimisation,Rapid ore insight,Lab-testing processes to determine ore mineral makeup are disconnected and time consuming. ,Enable the capability to rapidly and accurately characterise ore at the point of drilling or at key points in the process,"Analytics, cognitive/AI, cloud, mobility",Timely insight to the character of an ore body's mineral makeup is critical to realising value. Increase the ROI of exploration through enabling insight to the ore body at the time of drilling. 
Mining,Agile Mining Operations,no value,Digital exploration,Ore search optimisation,Greenfield mine viability,"New mine investment decisions are complex and high risk - decisions require input from datasets across ore body, financial analysis, government land data, mine plans etc. Spreadsheets and assumptions typically core to approaches used.",Enable the ability to assess and undertaken commercial scenairo modelling to decide mine site viability,"Analytics, cognitive, digital twin","Application of geological, financial and investment data within a digital twin envrionment enabling better and more accurate assessment of mine site viability based on ore analysis, planned mining techniques, technology strategy and financial options."
Mining,Agile Mining Operations,no value,Agile mining operations,Resilient operations,Ore grade optimisation,The ability to respond to the inherent variability in the ore body is not well developed. Operations and processing are not integrated to enable optimisation.,To target mining of the ore. Enable optimisation of processing and  deliver more precisely and predictably to customers,"Cognitive, IoT, BDA, Cloud","Bring together asset instrumentation, analytics and cognitive to optimise mining operations and processing as an integrated system enabling the system to respond to ore body variability."
Mining,Agile Mining Operations,no value,Agile mining operations,Resilient operations,Resource management,Energy management (and the management of other resources) in the mine is primarilly based of backward looking consumption data,"Decreased energy, water and fuel costs and utilisation. Delivery against sustainability goals. ","Cognitive, IoT, BDA, Cloud","The instrumentation of assets includes energy monitoring at the plug level for stationary assets, and utilisation of water and fuel. This means that mining operations can create insight and control through undersatnding the relationship between operational choices and consumptions to drive optimisation calculations."
Mining,Agile Mining Operations,no value,Agile mining operations,Resilient operations,Operational decision support,"Operational decisions depend  heavilly on experience. Very little of the data that is collected is used to support and inform experience, and existing assumptions. Being able to access the right infromation in real time in the right context is critical.","Profitabililty maximisation given operational contraints of equipment, maintenance and people - decision support giving scenarios and expected outcomes  ","Cognitive, IoT, BDA, Cloud",Operational decisions require the right information to be made available to the right person at the right time. Enabling the ability to make decisions that will   optimise profitability based on scenario planning.
Mining,Agile Mining Operations,no value,Agile mining operations,Resilient operations,Integrated mine planning and execution,"Operations are siloed, data is not utilised well outside of and across siloes, operational visibility is very often poor. The ability to control for variability arising through the course of execution of the mine schedule is required.     ",Improve efficiency and increased production through better resource allocation and management of equipment and people. ,"Analytics, control centre, IoT, mobility, Cognitive/AI, data management ","The ability to respond in real time to unexpected variability is critical to efficient allocation of resources within mining operations. Applying short interval control within the execution of the mine schedule, enabling activities in the mine to be managed in real time against the plan will deliver improved efficiency and increased production."
Mining,Agile Mining Operations,no value,Agile mining operations,Integrated and collaborative operations,Operational ecosystem,"Mining companies have a range of external third parties providing equipment and services across equipment, IT, and workforce contracting for example. A limited level of integration exists.
",Maximising efficiency across third party stakeholders by building integrated ecosystem between mining operational systems and those of their suppliers to deliver against operational objectives,"Cloud, IoT, data management, analytics, mobility","Creating integrated operations that deliver a step change in efficiency requires recognition that all parties involved need to be integrated into the ecosystem environment. This is critical to DX. That means integrated partnering approach, integrated operations and data, integrated systems and operational delivery.
"
Mining,Agile Mining Operations,no value,Agile mining operations,Integrated and collaborative operations,"Collaborative, integrated and automated operations","Operations are heavilly siloed, operational responses are very often manual, ad-hoc and response driven. Excel features heavilly in management of production targets, schedules and delivery. Data is accessed and stored, but utilisation is low. Operational responses are reactive and poorly integrated. Metrics and organisations are structured around siloes. Operations are often not interconected.   ","Reduce variability, increased predictability  resulting in reduced costs and revenue optimisation","Analytics, control centre, IoT, mobility, cognitive/AI, robotics, data management, cloud","Operating the mine as a system end to end is core to creating value at scale from digital mining operations. To achieve this data visibility , broad based automation of equipment and processes and collaboration within the system. A critical part of succeeding is to build operational metrics, culture and organisation that is collaborative and incented for the outcomes of the system as a whole. Enabling platforms within this system will be an important feature."
Mining,Agile Mining Operations,no value,Agile mining operations,Integrated and collaborative operations,Digital twin,Simulation of assets within the operation is generally done in an isolated manner and without good fidelity to system engineering concepts. Typically lacks real-time production asset inputs,Integrated simulation fo a system of assets that show impact of changes to overall system at the asset level. Provides the ability to test changes and reduce downtime and risk,"Cloud (HPC), analytics, AR/VR and cognitive, sensors and communications",Simulation of overall system operations at the asset level
Mining,Agile Mining Operations,no value,Agile mining operations,Smart processing,Predictive ore optimisation,The ability to predict ore quality from the mine that will feed into processing is limited for most companies.    ,Maximise yield - production and revenue,"analytics, sensors, cognitive, digital twin, cloud","Ability to respond in real time to unexpected variability in the ore body, and optimise processing to maximise yield.    "
Mining,Agile Mining Operations,no value,Agile mining operations,Smart processing,Digital blending,"Blending is undertaken offline - very often utilising huge spreadsheets, requiring specific knowledge and personnel.",Blending across operations  is done in predictively to maximise yeilds and minimise input from scarce technical resources. Uses simulation and modelling. Meaning that lower stockpiles are required to be held.,"Analytics, sensors, cognitive, mobile, cloud, HPC",Integrated blending to maximise yields and margins
Mining,Agile Mining Operations,no value,Agile mining operations,Smart processing,Smart processing insight,Processing the raw ore is an art more than a science. Process control system are very often 1 0 or 20 years old. Data is available but not used to inform decision making relating to the operation of the process. ,Improved predictability and accuracy in delivering against operational objectives.,"Analytics, IoT, data management","Digitising the process in order that the data embedded witihin process control can be utilised to inform decision making in real time will deliver improved efficiency, revenue and quality. "
Mining,Agile Mining Operations,no value,Agile mining operations,Digital supply chain,Autonomous stockpile management,"Stockpile and blending is poorly integrated into the supply chain within the operations of most mining companies. Visiblity of the stockpile, delivery against contracted ore grade commitments and optimisation of revenue is poor. Stockpile management is very often undertaken within spreadsheets.  ",Optimise revenue and deliver more precisely against contracted commitments avoiding both under and over delivery  ,"Robotics, analytics, Cognitive/AI, Cloud, IoT",Automation of stockpile management and integration of this within the supply chain will mean mining companies are able to maximise revenue and reduce the delivery of value above that which has been contracted.
Mining,Agile Mining Operations,no value,Agile mining operations,Digital supply chain,Pit to port optimisation,Planning is typically undertaken in siloes. There is a disconnect between the mine and  logistics operations,"Integrate operations from the mine to the port. Create visibility and integration across production, planning, operational performance, stockpile management and port management - to maximise profitability","Cloud, data management, sensors, IoT, mobility","Integration of production, planning, operational performance, stockpile management and port management  to create visibility and ability to control. Minimising costs and maximising revenues."
Mining,Agile Mining Operations,no value,Agile mining operations,Digital supply chain,Supply chain automation,"The various elements of a mining supply chain - trains, trucks and ports/shipping - create a great deal of variability within mining supply chains. ",Reduced costs through increased predictability within individual components of the supply chain,"Cloud, IoT, mobility, cognitive/AI","Automation of the components of the supply chain - trucks, trains and ports/shipping - driving predictability, variability ; thereby reducing costs, inclusion of external data sets e.g weather info  "
Mining,Agile Mining Operations,no value,Agile mining operations,Digital supply chain,Global trade automation,"Some automation exists for regulatory compliance, financial processing and integration with spot markets but is not tightly integrated","The objectives are a reduction in declaration penaltiesm and improved time through markets, accurate/timely settlement, lower transcation costs and more efficient dispute resolution","Blockchain, industry cloud, mobile and IoT",Integration of distributed ledger-based settlement for minerals commodities as industry cloud capabilities evolve to enabling energy trading 'communities'.
Mining,Agile Mining Operations,no value,Connected assets,Smart assets,Self-healing assets,Any asset issue requires immediate human intervention. That intervention can e slow and sometimes misguidedd. Companies spend a lot of money rolling crews to wrong locations and not getting to the right location until after an outage,"Assets that can self-diagnose notonly themselves, but other assets within their system visibility. These systems can then reroute, shed load, or shut down to avoid cascading failures. This increases uptime and reduces the cost of prematurely failing assets","Sensors, smart assets, networks, analyticsal tools, data management, cognitive, cloud","Assets monitor themselves and their peers and react to rerouts, shed load, or shut down to minimise outage and asset damage."
Mining,Agile Mining Operations,no value,Connected assets,Smart assets,Asset instrumentation,"Some mine site assets have condition reporting through sensors,  but centralised data management is focused on historians",Higher levels of asset availability results in less production downtime.,"IoT, BDA and advantaged networking",Real-time awareness of the asset condition will occur through dense deployment of wireless and wired sensors
Mining,Agile Mining Operations,no value,Connected assets,Strategic asset management,Predictive analytics,"The most advanced asset management strategies usually involve condition-based monitoring, but there is limited ablity to predict failures",High levels of asset availability result in less downtime and interrupted production. There will also be a lower cost of maintenance delivery,"Cognitive, IoT and mobility",Machine learning algorithms built on accurate predictive models of potential faillures
Mining,Agile Mining Operations,no value,Connected assets,Strategic asset management,Augmented maintenance,"Most assisted maintenance involves documented work instructions, but little is directly integrated into miantenance technician tooling. ","The objectives are lower time and cost to repair, longer mean time between failure and higher first time fix rates, and lower mine process downtime. ","AR/VR. Cognitive, IoT and mobile",The use of augmented and virtual reality provides maintenance technicians with relevant infromation and guided work instructions
Mining,Agile Mining Operations,no value,Connected assets,Strategic asset management,Mine process insight,"There exists some connectivity to the mine operations through sensors, but the ability to draw actionable insight out of the data generated through this connectivity remains limited","Increased visibility into the efficiency and effectiveness of the mining operation results in improved production, increased yields and reduced unscheduled downtime","IoT, BDA, advanced networking",Advanced analytics provices real-time visibility into the mining process through IoT sensors and connected equipment
Mining,Agile Mining Operations,no value,Connected assets,Strategic asset management,Digital inspection,Fixed and mobile assets are manually inspected using schedules drived from hisotircal failure data. This is manually intensive and includes increased risk of unexpected events in the future.,Real-time performance data is combined with external data sources to predict failures in fixed and mobile assets. Reduces physical inspection costs and increases system performance,"Sensors, communications networks, cloud, analytics, drones and machine learning",Use of predicive models to manage corrosion inspections and reduce physical inspections.
Mining,Agile Mining Operations,no value,Next Gen Safety,Enhanced personal safety,Connected safety wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Automatically ensure that all safety equipment is worn and worn properly.,"Cloud, analytics, cognitive, and social. Sensors, communications",Use of sensors to ensure workers are wearing all necessary safety equipment for the right jobs
Mining,Agile Mining Operations,no value,Next Gen Safety,Enhanced personal safety,Virtual presence,"Procedures are heavily dependent on entrance approvals, repetitive training and radio comms.",Will allow safety coordinators to immediately know location and status of workers.,"Cloud, analytics, cognitive, and social. Sensors, communications",Workers wear locators and sensors so that safety and emergency staff immediately know location and status of workers
Mining,Agile Mining Operations,no value,Next Gen Safety,Enhanced personal safety,Augmented training,"Operator, maintenance and other operational training delivered through traditional physical courses, on the job or basic simulation","The objectives are improved safety, fewer incidents, reduced costs through lower human error.","AV/VR, cloud, IoT",Environments that training can be undertaken utilising real systems data.
Mining,Agile Mining Operations,no value,Next Gen Safety,Process safety,Process condition monitoring,Static baseline against which a process or group of assets is measured for approaching an unsafe condition,Monitoring of asset and process against dynamic benchmarks to improve safety monitoring and reduce inspections,"In process sensors, communications networks, cloud, analytics, and machine learning",Monitoring the real-time condition of a process and applying analytics to determine needed inspection
Mining,Agile Mining Operations,no value,Next Gen Safety,Process safety,Process self inspection,Static baseline against which a process or group of assets is measured for approaching an unsafe condition,"Asset and process use analytics, modeling, and cognitive capabilities to determine safe operation in the future","In process sensors, communications networks, cloud, analytics, and machine learning",Using available sensor data to predict safety incidents and acting autonomously to intervene in the process
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Capabilities-Based Procurement,Sourcing intelligence,Current best practice looks at aggregate buying volumes with vendors for negotiation.,Buying based on capacity reservation at suppliers based on a digital twin of the entire supply chain will yield lower inventories and higher perfect order results.,"Cloud, industry cloud, cognitive, and blockchain","Understanding supplier capacities at a deeper level such as machine capabilities, certifications, capacity, and company demand for those items; continuous rebalancing of the supply of critical items based on capabilities rather than units and quantity"
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Capabilities-Based Procurement,Supplier network management,"Supply position is based on very little data, and best practice is based on batch processing such as EDI.",Near-real-time awareness of supply positon will yield lower transportation costs and better on-time delivery of finished goods.,"Cloud, IoT, industry cloud, and cognitive",Instrumenting supplier production and warehousing facilities to create a fully informed digital twin
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Capabilities-Based Procurement,Automated kanban,Prevalent Lean practices prescribe that replenishment of raw material be triggered by kanban cards. Best practices introduce some level of automation and integration to procurement systems.,Replenishment process costs will be significantly reduced and sped up. This result will allow for greater flexibility in planning as well as lower inventories.,"Cognitive, blockchain, and IoT","An automated, near-real-time connection to suppliers to trigger replenishment of raw material"
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Extended Planning,Demand and consumption signal processing,"While common in consumer value chains, automated feeds of actual demand are rare in this value chain.","Near-real-time adjustment of demand takt times will support higher revenue, especially in aftermarket parts and services.","Cloud, IoT, mobile, and industry cloud",Instrumenting demand signals from customers and channel partners create an accurate representation of real-time demand in the supply chain digital twin.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Extended Planning,Inventory intelligence,"Inventory levels are determined by a series of accounting transactions, and inventory levels are set by optimization algorithms that are run only periodically.","A continuous assessment of inventory position relative to demand, production capacities, and supply position will reduce inventory levels and lower management costs.","Cloud, IoT, BDA, and cognitive",Instrumenting inventory locations to report actual inventory position (smart shelves) and material handling equipment will provide an accurate representation of real-time inventory position in the supply chain digital twin.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Extended Planning,Thinking supply chain,"Various analytic models support different planning stages, but the models are loosely integrated.","The objectives are better allocation of resources and risk mitigation, optimal sales and operations plans, and better next-best-action determination.","Cognitive, BDA, AR/VR, and mobile","A closed-loop analytic model connects portfolio, scenario, value, and situational analysis to drive supply chain innovation."
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Logistics Automation,Smart warehousing,Best practice is application-driven process automation only loosely integrated to physical automation.,"Automation will lower labor costs in warehouses, reduce inventory levels, and allow for more accurate picking of stock.","Robotics, AR/VR, cloud, cognitive, and mobile",Tightly integrated process workflow and physical automation to provide augmented and autonomous execution in the warehouse
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Logistics Automation,Transportation optimization,"Load tendering is automated, and spend optimization tools are used, but no real-time contextual management is used.",Reduce freight costs including expedited freight. Improve on-time delivery of inbound material and outbound finished goods.,"Cognitive, IoT, robotics, and industry cloud",Real-time contextual model that balances long-term cost optimization with near-term service levels
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Digital Supply Chain Optimization,Logistics Automation,Global trade automation,Some automation exists for automating regulatory compliance and financial processing but is not tightly integrated.,"The objectives are a reduction in declaration penalties, improved time through customs, accurate/timely settlement, lower freight forwarding costs, and less dispute resolution.","Blockchain, industry cloud, mobile, and IoT",Instrumentation of physical containers integrated with distributed ledger?based settlement for both import and export of goods
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Strategic Asset Management,Asset instrumentation,"Some factory assets have condition reporting through sensors, but there is little centralized data management beyond historians.",Higher levels of asset availability results in less factory downtime and lower capital appropriation spending.,"IoT, BDA, and advanced networking",Real-time awareness of asset condition through dense deployment of wireless and wired sensors
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Strategic Asset Management,Predictive maintenance,"The most advanced asset management strategies usually involve condition-based monitoring, but there is limited ability to predict failures.",Higher levels of asset availability results in less factory downtime and lower capital appropriation spending. Cost of maintenance delivery will be lower.,"Cognitive, IoT, and mobile",Machine learning algorithms that build an accurate predictive model of potential failures
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Strategic Asset Management,Augmented maintenance,"Most assisted maintenance involves documented work instructions, but little is directly integrated into maintenance technician tooling.","The objectives are lower time and cost to repair, longer mean time between failure (MTBF) and higher first-time fix (FTF) rates, and lower factory downtime.","AR/VR, cognitive, IoT, and mobile",The use of augmented and virtual reality to provide maintenance technicians with relevant information and guided work instructions
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Resilient Lean,Real-time scheduling,Production scheduling and sequencing are generally done in an analytic model that is not directly connected to execution.,"Higher throughput levels at the factory to deliver lower unit costs, higher customer satisfaction, and lower capital requirements","IoT, BDA, and cognitive",Real-time assessment of current demand and capacity availability continuously and intelligently resequences work in the factory.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Resilient Lean,Resource management,"If companies do anything relative to resource management in the plant, it is likely an audit of monthly energy consumption data.",Lower energy costs and attainment of sustainability goals; greater optimization of resources,"Cognitive, IoT, and BDA",Instrumentation of assets includes resource monitoring at the plug level that provides consumption models that allow for including energy costs in optimization calculations.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Resilient Lean,Materials optimization,Many reductive manufacturing processes create high levels of wasted materials. Optimization is usually only done in the engineering stage prior to first production.,Lower material costs and attainment of sustainability goals (less waste),"IoT, robotics, 3D printing, and cognitive",This includes 3D printing that is additive rather than reductive and also includes intelligent machine tools (robots) that can continuously optimize material usage based on current context.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Quality,Manufacturing intelligence,Engineering usually maintains a repository of specifications including quality standards. The efficacy of these specifications is rarely evaluated.,"Better alignment of quality standards to customer expectations yield higher customer satisfaction, lower cost of adverse quality, and lower product recall cost.","Cognitive, BDA, and robotics",An integrated specification repository can adjust robotic and connected quality metrology. There is ongoing case-based learning of the efficacy of quality specifications in meeting customer requirements.
Manufacturing - EOVC,Creating Experience Ecosystems,no value,Smart Manufacturing,Quality,Collaborative resolution,"CAPA-based quality reviews include material review boards, disposition, and rework execution generally done with little automation.",The objectives are higher levels of first-time fix performance and lower costs of adverse quality.,"Industry cloud, social, IoT, and BDA",A collaboration platform that includes the ability to bring contextual information into the disposition of nonconforming material. Case-based tools evaluate the efficacy of corrective actions.
