UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
Thinking supply chain,Various analytic models support different planning stages- but the models are loosely integrated.,Cognitive,BDA,AR/VR,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart warehousing,Best practice is application-driven process automation only loosely integrated to physical automation.,Robotics,AR/VR,cloud,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Transportation optimization,Load tendering is automated- and spend optimization tools are used- but no real-time contextual management is used.,Cognitive,IoT,robotics,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation,Some automation exists for automating regulatory compliance and financial processing but is not tightly integrated.,Blockchain,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some factory assets have condition reporting through sensors- but there is little centralized data management beyond historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive maintenance,The most advanced asset management strategies usually involve condition-based monitoring- but there is limited ability to predict failures.,Cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time scheduling,Production scheduling and sequencing are generally done in an analytic model that is not directly connected to execution.,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Resource management,If companies do anything relative to resource management in the plant- it is likely an audit of monthly energy consumption data.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Materials optimization,Many reductive manufacturing processes create high levels of wasted materials. Optimization is usually only done in the engineering stage prior to first production.,IoT,robotics,3D printing,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Manufacturing intelligence,Engineering usually maintains a repository of specifications including quality standards. The efficacy of these specifications is rarely evaluated.,Cognitive,BDA,robotics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative resolution,CAPA-based quality reviews include material review boards- disposition- and rework execution generally done with little automation.,Industry cloud,social,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive root cause,Independent tools perform the root cause analysis of defect data- not integrated to inline quality management systems.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time claims management,Claims (market development funds- sales incentives- financing- warranty) reimbursement processes are manual- usually with long approval and settlement cycles.,Mobile,BDA,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contextual marketing,Dealers and OEMs independently create customer profiles and do very little coordination in bringing the buyer through their journey.,Industry cloud,cognitive,social,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Multitier configure, price, quote (CPQ)",Today- dealers- OEMs- and aftermarket companies maintain separate configuration engines that can work against successfully selling.,Industry cloud,social,mobile,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Application store platform,Supplemental applications for equipment are sold on a one-off basis. Customers expect a similar experience to what they get on their phones.,Mobile,BDA,blockchain,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Remote management,Remote monitoring of equipment is done on an ad hoc basis (e.g.- OBD port plugged into only at the service station) or based on limited information.,Industry cloud,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented service execution,Service technicians are limited to documented work instructions- but little is directly integrated into service technician tooling.,AR/VR,cognitive,IoT,3D printing,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital showroom,Customers must see physical products to get a feel for the product in three dimensions. Exploring equipment options is generally limited to photo-realistic two-dimensional models at best.,AR/VR,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer loyalty,While loyalty is seen as a key objective- most approaches today are built around swag (e.g.- John Deere caps) rather than true community building.,Social,cloud,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Equipment health,There are some early examples of automated notifications of potential issues or performance data- but very rudimentary.,Mobile,cloud,BDA,gamification,social,-,-,-,-,-,-,-,-,-,-,-,-,-,
Model-based design,While most design environments are model based- they are file driven for individual drawings and simulations.,AR/VR,BDA,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative development,The ability to let customers contribute to design and suppliers to participate in the system engineering is limited.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced digital simulation,Simulations are generally done in batch and without good fidelity to system engineering concepts.,Cloud (HPC),BDA,AR/VR ,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bill of features,Engineering processes are focused on bill of material creation- but with more value deriving from digital (software)- this approach is inadequate,Cloud,social,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Requirements management,Companies tend to run specialized packages that focus on one set of static requirements at the beginning of the engineering process.,Social,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cost analysis,Cost analysis is done as a separate batch process.,Cloud,BDA,social,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
System engineering validation,Simulation and validation are done in batches- with no evaluation of engineering efficacy in the context of full system engineering.,Cognitive,cloud (HPC),AR/VR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Quality and compliance,FMEA is a best practice process that is not implemented consistently.,Cloud,BDA,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Case-based learning,There is very little informed feedback analysis on engineering performance beyond scorecards/dashboards.,Cloud,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sourcing intelligence,The current best practice looks at aggregate buying volumes with vendors for negotiation.,Cloud,industry cloud,cognitive,blockchain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supplier network monitoring,Supplier performance and supply position is based on very little data- and best practice is based on batch processing such as EDI.,Cloud,IoT,industry cloud,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Automated Kanban,Prevalent lean practices prescribe that the replenishment of raw material be triggered by Kanban cards. Best practices introduce some level of automation and integration to procurement systems.,Cognitive,blockchain,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Demand and consumption signal insight,Although demand data feeds are common- they are incomplete- not typically in real or near real time- and fail to adequately predict future demand.,Cloud,IoT,mobile,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Extended S&OP,S&OP is an often insular process that fails to adequately understand granular demand- broader supply- and the constraints of constituents beyond the narrow definitions of demand and supply balancing.,Cloud,social,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,
Thinking supply chain,Various analytic models support different planning stages- but the models are loosely integrated.,Cognitive,BDA,AR/VR,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart warehousing,The ability to meet diverse consumer and customer requirements is inefficiently managed through a combination of SKU allotment and inventory management.,Robotics,AR/VR,BDA,cloud,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,
Transportation optimization,Load tendering is automated- and spend optimization tools are used- but no real-time contextual management is used.,Cognitive,IoT,robotics,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation,Tools exist for automating regulatory compliance and financial processing- but they are incomplete- often out of date- and not tightly integrated.,Blockchain,BDA,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some factory assets have condition reporting through sensors- but there is little centralized data management beyond historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive maintenance,The most advanced asset management strategies usually involve condition-based monitoring- but there is limited ability to predict failures.,Cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive inventory,"Inventory is inflexible- and often replete with ""unsalables."" Even though companies generally have a good handle on overall inventory number- the specific remains elusive.",IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart capacity allocation,Most BOVC companies have a general- but not specific- sense of available capacity at any one point in time. The ability to adjust capacity utilization in real time is a guess at best.,Cognitive,IoT,mobile ,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Blended network analytics,BOVC manufacturers have visibility into operational metrics form their own factories but not outsourced factories.,IoT,robotics,mobile,3D printing,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,
Specification intelligence,Engineering usually maintains a repository of specifications including quality standards. The efficacy of these specifications is rarely evaluated.,Cognitive,BDA,robotics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive root cause,Independent tools perform root cause analysis of defect data- not integrated to inline quality management systems.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative resolution,CAPA-based quality reviews include material review boards- disposition- and rework execution generally done with little automation.,Industry cloud,social,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time scheduling,Production scheduling and sequencing are generally done in an analytic model that is not directly connected to execution.,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Energy management,Most companies treat energy management in the plant as an audit of monthly consumption data.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Materials optimization,Many reductive manufacturing processes create high levels of wasted materials. Optimization is usually only done in the engineering stage prior to first production.,IoT,robotics,3D printing,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customized product/service,SKU proliferation meets consumer segments- there is some limited postponement for things like custom pallets or limited duration products.,Mobile,BDA,robotics,3D printing,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Omni-channel 2.0,Omni-channel commerce has made big strides but has not yet achieved true outlet transparency. Cumbersome store/online handoffs frustrate consumers.,Industry cloud,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
360-degree connected customer management,"Consumers' ability to engage with the product they buy- or are considering buying- is limited across channels. Stores as ""showrooms"" is a poor substitute for digitally immersive experiences.",AR/VR,cognitive,IoT,3D printing,social,mobile,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time assortment monitoring,"Assortment planning is an imprecise ""science"" at best- leading to out of stocks and mark downs and consumer frustrations.",Mobile,IoT,AR/VR,BDA,social,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,
Personalized marketing/price/retail loyalty,"Manufacturers and retailers independently create consumer segment profiles and do very little coordination in bringing consumers through their product purchase and use ""journey.""",Industry cloud,cognitive,social,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Omni-experience coordination,Channels and buying locations are not integrated- including the maintenance of segregated inventory in many places.,Industry cloud,social,mobile,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Seamless trade and consumer,There are generally discrete and distinct buckets of money and consumer promotion owned by marketing- trade by sales.,BDA,cloud,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contextual marketing,Capabilities are evolving- though fragmented across some emerging digital channels- but still a preponderance of traditional approaches.,Social,cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive funding/opportunity database,The efficacy (not to forget efficiency) is notoriously elusive in the promotional space- with most companies having only a general sense of whether promotions are profitable.,Mobile,cloud,BDA,IoT,social,-,-,-,-,-,-,-,-,-,-,-,-,-,
Vitality/stability (horizon 1 and 2),Balancing new products (horizon 2 innovation) with line extensions (horizon 1 innovation) proves to be problematic. There are not enough net-new products to meet business goals.,AR/VR,BDA,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative development,Collaboration is ad hoc at best. Leaders do a better job than lagging companies. Innovation funnels are used by about half of companies- but true multifunctional collaboration is the exception.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced digital simulation,Simulations are generally done in an ad hoc fashion- with poor fidelity to engineering or manufacturing processes.,Cloud (HPC),BDA,AR/VR,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open innovation,40% of new products fail in the marketplace- despite being validated with focus groups. Most BOVC companies judge their innovation funnel to be under populated.,Cloud,social,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Product portfolio management,Product portfolios are generally micromanaged by product managers without a great deal of holistic oversight.,Social,BDA,IoT,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital knowledge base,BOVC companies are not always good at really understanding consumer needs and wants or even things consumers don't yet know they want. It's part of the reason that 40% of new products fail.,Cloud,BDA,social,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive SKU management,"SKU management is a big problem for many BOVC companies that find themselves with a very long and unprofitable product ""tail.""",Social,BDA,IoT,cognitive ,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Quality, safety, and compliance",FMEA is a best practice process that is not implemented consistently.,Cloud,BDA,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lifetime (profitability) product performance,Life phases of products are not managed holistically- thus lifetime profitability is not maximized.,Cloud,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sourcing intelligence,The current best practice looks at aggregate buying volumes with vendors for negotiation.,Cloud,industry cloud,cognitive,blockchain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supplier network management,Supply position is based on very little data- best practice is based on batch processing such as EDI.,Cloud,IoT,industry cloud,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Automated Kanban,Prevalent lean practices prescribe that replenishment of raw material be triggered by Kanban cards. Best practices introduce some level of automation and integration to procurement systems.,Cognitive,blockchain,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Extended S&OP,S&OP is an often insular process that fails to adequately understand granular demand- broader supply- and the constraints of constituents beyond the narrow definitions of demand and supply balancing.,Cloud,social,BDA,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,
Demand and consumption signal insight,While common in consumer value chains- automated feeds of actual demand are rare in this value chain.,Cloud,IoT,mobile,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Thinking supply chain,Various analytic models support different planning stages- but the models are loosely integrated.,Cognitive,BDA,AR/VR,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart warehousing,The best practice is an application-driven process automation only loosely integrated to physical automation.,Robotics,AR/VR,cloud,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Transportation optimization,Load tendering is automated- and spend optimization tools are used- but no real-time contextual management is used.,Cognitive,IoT,robotics,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation,Tools exist for automating regulatory compliance and financial processing- but they are incomplete- often out of date- and not tightly integrated.,Blockchain,BDA,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some factory assets have condition reporting through sensors- but there is little centralized data management beyond historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive maintenance,The most advanced asset management strategies usually involve condition-based monitoring- but there is limited ability to predict failures.,Cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Environmental resource optimization,Water and energy usage is often managed at the plant level and monitored rather than strategically managed.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Health and safety,Health and safety data sheets are available- but often location and access are insufficient.,Mobile,cloud,AR/VR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive planning,Energy use at the plant and production level is monitored but is not strategically planned.,Cognitive,BDA,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Risk and compliance,Risk and compliance is actively managed yet is a cumbersome and largely manual process.,Social,cloud,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive root cause,Independent tools perform root cause analysis of defect data- not integrated to in-line quality management systems.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative resolution,CAPA-based quality reviews include material review boards- disposition- and rework execution generally done with little automation.,Industry cloud,social,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customized products,Customization occurs at a higher level with the intent of delivering innovations that can be mass produced- but often there is no system for capturing and leveraging efforts.,Social,mobile,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Lot lineage,Track and trace is largely a reactive function triggered by an event that requires the tracing of a material's origin back through the supply chain.,Blockchain,cloud,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer enablement,The process of defining product/material requirements is often a cumbersome and manual process requiring significant time spent working and reworking formulations to achieve a desired outcome.,Cloud,industry cloud,social,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Dynamic material requirements,Material requirements are determined- evaluated- and simulated at the front end of product/material design with limited flexibility during the research and development process.,Cloud,social,cognitive,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Formulation specification,Existing data and simulations play a role in determining formulation specifications to meet customer requirements- but often incomplete- redundant- or siloed data impedes the process.,Cloud,industry cloud,BDA,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent customization,Current specification capabilities are manual and lack the ability to make suggestions based on application- customer history- or other such inputs.,Cognitive,BDA,machine learning,social,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
360-degree connected customer management,AOVC customers typically connect with their vendors through a manual process that ends up with some information captured in the CRM application but also results in incomplete data due to the manual process of data capture.,Cloud,social,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Calibrated replenishment,Customers manage their replenishment cycles through a traditional balancing of manufacturing execution and planned usage.,Cloud,BDA,social ,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Product performance management,Product and material performance is measured as a quality metric by the customer with little oversight and proactive management by the vendor.,Cloud,BDA,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Model-based design,Simulations are generally done in batch and without consideration to the broader impact or applicability of the formulation.,Cloud,BDA,AR/VR,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Business scenario modeling,Scenario modeling is fragmented where simulations and decision making are conducted largely at the business unit or functional level.,BDA ,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced digital simulation,Formulation and manufacturing process development are not considered holistically.,Cloud,BDA,AR/VR,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Versatile molecule,Molecular-level innovation is done to identify new compositions to meet a specific need but often miss the opportunity to identify broader applications.,BDA,cognitive,AR/VR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Requirements management,Companies tend to run specialized experiments that focus on one set of static requirements at the beginning of the R&D process.,Social,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cost analysis,Cost analysis is done as a separate batch process.,Cloud,BDA,social,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digitally enabled visibility,Some visibility exists internally to research efforts and data- but there is very limited visibility throughout the value chain.,Cloud,social,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Collaborative development,The ability to let customers contribute to design and let suppliers participate in R&D is limited.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital knowledge base,Internally- data is held in silos while there is little to no sharing of knowledge between the broader innovation ecosystem.,Social,cloud,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sourcing intelligence,Suppliers' contracts emphasize capacity and capabilities- but not necessarily the ability to innovate. Many negotiate based on aggregate buying volumes.,Cloud,industry cloud,cognitive,blockchain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supplier network management,Supply position is based on high-level data- and best practice is based on batch processing such as EDI.,Cloud,IoT,industry cloud,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Automated Kanban,Prevalent lean practices prescribe that the replenishment of raw material be triggered by Kanban cards. Best practices introduce some level of automation and integration to procurement systems.,Cognitive,blockchain,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Demand and consumption signal insight,While common in most consumer goods value chains- automated feeds of actual demand are less prevalent in this value chain and rarely capture highs/lows quickly enough.,Cloud,IoT,mobile,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Inventory intelligence,Inventory levels are primarily managed through accounting transactions- and optimization algorithms aren't fully embedded into the management process.,Cloud,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Thinking supply chain,Various analytic models support different planning stages- but the models are loosely integrated.,Cognitive,BDA,AR/VR,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart warehousing,The usual practice is an application-driven process automation only loosely integrated to physical automation.,Robotics,AR/VR,cloud,cognitive,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Transportation optimization,Load tendering is automated- and spend optimization tools are used- but no real-time contextual management is used.,Cognitive,IoT,robotics,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation,Some automation exists for regulatory compliance and financial processing but is not tightly integrated.,Blockchain,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some factory assets have condition reporting through sensors- but centralized data management is focused on historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive maintenance,The most advanced asset management involves condition-based monitoring- but the ability to predict failures is in the early stages.,Cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Yield management,Analysis for production scheduling and sequencing is not tightly connected to execution.,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Resource management,Energy management (and the management of other resources) in the plant is primarily based off audits of monthly consumption data.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Materials optimization,Optimization is usually done in the engineering stage prior to first production- not necessarily across the entire production process.,IoT,robotics,3D printing,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Manufacturing intelligence,Engineering usually maintains a repository of specifications including quality standards. The efficacy of these specifications is rarely evaluated.,Cognitive,BDA,robotics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive root cause,Independent tools perform root cause analysis of defect data and are not well integrated with inline quality management systems.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Risk and compliance,Although quality reviews usually produce the right results- the process is not automated and cause-effect factors may not be well understood.,Industry cloud,social,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time claims management,Claims (market development funds- sales incentives- financing- and warranty) reimbursement processes are manual- usually with long approval and settlement cycles.,Mobile,BDA,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Contextual marketing,The sales/service channel and OEMs independently create customer profiles with minimal coordination in bringing buyers through their journey.,Industry cloud,cognitive,social,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Multi-tier CPQ,Channels maintain distinct configurations- and manufacturers cannot identify actual customer requirements because they focus on one channel partner at a time.,Industry cloud,social,mobile,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Application store platform,Supplemental applications and content are sold on a one-off basis. Customers expect a similar experience to what they get on their phones.,Mobile,BDA,blockchain,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Remote management,Remote monitoring is done on an ad hoc basis or based on limited information and is not seen as a way to prolong customer/consumer engagement.,Industry cloud,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented service execution,Service techs are limited to documented work instructions- but little is directly integrated into service technician tooling.,AR/VR,cognitive,IoT,3D printing,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital development,Few products have the developer loyalty that we see in mobile devices- but that changes as more tech products expand their software-based interface with consumers/customers.,Mobile,cloud,BDA,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer loyalty,Loyalty to the brand varies significantly and with low expectations for updates or enhancements- with customers driven by price- offers- and current market perception.,Social,cloud,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Edge intelligence,There are some early examples of automated notifications of potential issues or performance data- but customers/consumers don't always opt in for service or even to share information from the edge.,Mobile,cloud,BDA,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Model-based design,While most design environments are model based- they are file driven for individual drawings and simulations.,AR/VR,BDA,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Open innovation,The ability to let customers contribute to design and suppliers to participate in the system engineering is limited.,Social,industry cloud,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced digital simulation,Simulations are generally done in batch and without good fidelity to system engineering concepts.,Cloud (HPC),BDA,AR/VR,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bill of features,Engineering processes are focused on bill of material creation- but with more value deriving from digital (software)- this approach is inadequate.,Cloud,social,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Configure to order,Companies alternate between offering too much configurability and too little- without sufficiently understanding the market demand and profitability impact.,Social,BDA,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Case-based learning,There is very little informed feedback analysis on engineering performance beyond scorecards/dashboards.,Cloud,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
System engineering validation,Simulation and validation are done in batches with no evaluation of engineering efficacy in the context of full system engineering.,Cognitive,cloud (HPC),AR/VR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Quality and compliance,FMEA is a best practice process that is not implemented consistently.,Cloud,BDA,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cost analysis,Cost analysis is done as a separate batch process.,Cloud,BDA,social,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Smart kiosks,There is little interactive information on busy city streets. Visitors and residents can use multiple apps on devices to search for information- but there isn't a consolidated way to access nonemergency and emergency services and local information.,Smart kiosks are specifically designed units,most of which include (interactive) display panels,WiFi signaling,emergency call services.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Interactive experiences,Tourism is a major economic force in many cities around the world- and there is global competition to attract tourists and daily visitors and increase their spending on local services- events- and businesses. There is some limited movement to using augmented reality (AR) tools to enhance the urban experience- from using your smartphone for augmented reality to interacting directly with physical infrastructure- like lights- via tweets or mobile apps.,AR/VR hardware such as screenless viewers,tethered head-mounted displays (HMDs),standalone HMDs,smartphones,tablets,digital content,graphics software,-,-,-,-,-,-,-,-,-,-,-,
Connected museums,The majority of museums worldwide offer some hands-on experiences- visual aids- as well as traditional static viewing of works of art. Most museums are not digitally enabled though some have been experimenting with adding Bluetooth devices and mobile apps to enhance the educational experience. Large museums also may have traffic flow issues with people crowding at the big attractions.,Bluetooth beacon ,other short-range radio technologies,sensors ,video cameras,mobile apps,content management software,AR,gaming software,-,-,-,-,-,-,-,-,-,-,
